Below, I will give a song on an specified structure. 
In first metadata gives the name of the original song (You must change this on your answer).
In second metadata  gives the tags relationated to the song.
In third metadata gives the energy's song. If they aren't 'None' they talk some about the energy of the song.
The last metadata gives a sequence of three columns.
The strucuture of those three columns is very important. The description about how they works is: First one is the initial time of the chord, the second is the final time of the chord and the third is the chord by itself.

You must follow the exact same structure.

Generate a similar song to the one below. You must change the times of the columns and the chords to change the song by complete. Furthermore you have to change the original topic field and original energy field to new ones, because they will talk about the new song you generated.

metadata:
original music: The Beatles - And I Love Her
original topic: ['classic rock', '60s', 'rock', 'pop', 'The Beatles']
original energy: None
the melody  starts here:
0.000000 0.421247 N
0.421247 1.213809 N
1.213809 5.137981 F#:min
5.137981 9.224693 E
9.224693 11.244829 F#:min
11.244829 13.276575 C#:min
13.276575 15.343151 F#:min
15.343151 17.398117 C#:min
17.398117 19.476303 F#:min
19.476303 21.577709 C#:min
21.577709 23.621065 A
23.621065 25.676031 B
25.676031 29.878843 E
29.878843 31.968639 F#:min
31.968639 34.000385 C#:min
34.000385 36.101791 F#:min
36.101791 38.203197 C#:min
38.203197 40.292993 F#:min
40.292993 42.359569 C#:min
42.359569 44.484195 A
44.484195 46.573990 B
46.573990 50.800022 E
50.800022 52.947868 C#:min
52.947868 55.072494 B
55.072494 57.150680 C#:min
57.150680 59.286916 G#:min
59.286916 61.330272 C#:min
61.330272 63.420068 G#:min
63.420068 67.646099 B
67.646099 69.805555 F#:min
69.805555 71.930181 C#:min
71.930181 73.996757 F#:min
73.996757 76.109773 C#:min
76.109773 78.234399 F#:min
78.234399 80.347414 C#:min
80.347414 82.472040 A
82.472040 84.585056 B
84.585056 88.787868 E
88.787868 90.958934 G:min
90.958934 92.979070 D:min
92.979070 95.184965 G:min
95.184965 97.286371 D:min
97.286371 99.422607 G:min
99.422607 101.535623 D:min
101.535623 103.683469 Bb
103.683469 105.808095 C
105.808095 110.080566 F
110.080566 112.228412 G:min
112.228412 114.306598 D:min
114.306598 116.454444 G:min
116.454444 118.532630 D:min
118.532630 120.657256 G:min
120.657256 122.735442 D:min
122.735442 124.906507 Bb
124.906507 127.031133 C
127.031133 131.280385 F
131.280385 135.622517 G:min
135.622517 139.813718 F
139.813718 144.121020 G:min
144.121020 147.149392 D
147.149392 151.092245 N


A possible example that I can give to you is the one below.

relative music: The Beatles - And Your Bird Can Sing.txt
relative tags: ['classic rock', 'rock', '60s', 'pop', 'The Beatles']
relative energy: None
the melody starts here:
0.000000 0.497838 N
0.497838 7.692176 E
7.692176 14.936802 E
14.936802 16.759569 F#:min
16.759569 18.559115 A
18.559115 22.216258 E
22.216258 29.414444 E
29.414444 31.190770 F#:min
31.190770 32.990317 A
32.990317 36.647460 E
36.647460 38.435396 G#:min
38.435396 40.200113 G:aug
40.200113 42.046099 B/5
42.046099 43.834036 F:dim
43.834036 45.645192 E
45.645192 49.255895 F#:min
49.255895 51.090272 B
51.090272 58.300068 E
58.300068 60.099614 F#:min
60.099614 61.887551 A
61.887551 65.533083 E
65.533083 67.332630 G#:min
67.332630 69.132176 G:aug
69.132176 70.966553 B/5
70.966553 72.754489 F:dim
72.754489 74.612086 E
74.612086 78.222789 F#:min
78.222789 80.022335 B
80.022335 80.962743 E
80.962743 81.891541 E/7
81.891541 82.808730 E/6
82.808730 83.702698 E/5
83.702698 87.290181 E
87.290181 89.089727 F#:min
89.089727 90.889274 A
90.889274 94.511587 E
94.511587 101.651723 E
101.651723 103.462879 F#:min
103.462879 105.227596 A
105.227596 108.896349 E
108.896349 114.294988 E
114.294988 117.719931 A/5
117.719931 121.756735 N
